Epoch 185, Loss: 0.9343239068984985, epoch_time: 20.84 seconds
Epoch 186, Loss: 0.9343260046912403, epoch_time: 20.41 seconds
Epoch 187, Loss: 0.9343395502102084, epoch_time: 20.73 seconds
Epoch 188, Loss: 0.9343304154349537, epoch_time: 20.46 seconds
Epoch 189, Loss: 0.9342617944973272, epoch_time: 20.58 seconds
Epoch 190, Loss: 0.9342701754918913, epoch_time: 20.86 seconds
Epoch 191, Loss: 0.9342588600589008, epoch_time: 20.46 seconds
Epoch 192, Loss: 0.9342448558749222, epoch_time: 20.65 seconds
Epoch 193, Loss: 0.9343086684622416, epoch_time: 20.32 seconds
Epoch 194, Loss: 0.9342672410534649, epoch_time: 20.90 seconds
Epoch 195, Loss: 0.9342122884785257, epoch_time: 20.34 seconds
Epoch 196, Loss: 0.934260879347964, epoch_time: 20.81 seconds
Epoch 197, Loss: 0.9343696578246791, epoch_time: 20.38 seconds
Epoch 198, Loss: 0.9343521791260417, epoch_time: 21.25 seconds
Epoch 199, Loss: 0.9343695953124906, epoch_time: 20.52 seconds
Epoch 200, Loss: 0.9342819663082681, epoch_time: 21.06 seconds
